Code,Name,Link to Big Ten Portal (Display),,,,,,,,
:----------------,:-----------------------------------------------------------------------------------------------------------,:----------------------------------------------------------------,,,,,,,,
03d-01,Iowa Historical County Atlases,https://geo.btaa.org/catalog/03d-01,,,,,,,,
03d-02,Hixson Plat Map Atlases of Iowa,https://geo.btaa.org/catalog/03d-02,,,,,,,,
03d-03,Original Land Survey Maps: Iowa,https://geo.btaa.org/catalog/03d-03,,,,,,,,
05d-02 (Clay),"Index Map: Standard Atlas of Clay County, 1909",https://geo.btaa.org/catalog/a24ce86b-6f21-4a7b-931e-fe087889528e,,,,,,,,
05d-02 (Dakota),"Index Map: Atlas and farmers' directory of Dakota County, Minnesota, 1916",https://geo.btaa.org/catalog/491dd450-b802-47a3-b415-0b38c8502104,,,,,,,,
05d-02 (Lincoln),"Index Map: Atlas and farm directory with complete survey in township plats, Lincoln County, Minnesota, 1915",https://geo.btaa.org/catalog/f05a8d39-a381-4ee3-8e32-a5210e7042d9,,,,,,,,
05d-02 (Nobles),"Index Map: Standard atlas of Nobles County, Minnesota",https://geo.btaa.org/catalog/c9a4349a-3522-43de-a86b-fa80adfdf365,,,,,,,,
05d-02 (Renville),"Index Map: Atlas and Farm Directory with Complete Survey in Township Plats, Renville County, Minnesota, 1913",https://geo.btaa.org/catalog/354357d1-dfe9-49c7-b0cd-8f6ebe6bda20,,,,,,,,
05d-02 (Sibley),"Index Map: Atlas and farmers' directory of Sibley County, Minnesota, 1914",https://geo.btaa.org/catalog/bdde1535-2a0c-4b96-8814-206990c36406,,,,,,,,
05d-02 (Winona),"Index Map: Atlas and farmers' directory of Winona County, Minnesota, 1914",https://geo.btaa.org/catalog/209450b6-2738-4a7a-9321-916335b0e474,,,,,,,,
05a-03,General Land Office Township Plats: Minnesota,https://geo.btaa.org/catalog/05a-03,,,,,,,,
06a-03,General Land Office Township Plats: Michigan,https://geo.btaa.org/catalog/06a-03,,,,,,,,
09a-03,Indiana Statewide LiDAR: 2016-2019,https://geo.btaa.org/catalog/09a-03,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
